ShapeStr,ShapeID,xPosStart,yPosStart,xPosEnd,yPosEnd,Angle,LayerName,Width
Line,0,140004800,29718000,140004800,72364600,,Edge.Cuts,100000
Line,0,60134500,29781500,60134500,72301100,,Edge.Cuts,100000
Arc,2,63119000,29781500,63119000,26797000,-900.0,Edge.Cuts,100000
Arc,2,63182500,72301100,60134500,72301100,-900.0,Edge.Cuts,100000
Arc,2,137020300,72364600,137020300,75349100,-900.0,Edge.Cuts,100000
Arc,2,137083800,29718000,140004800,29718000,-900.0,Edge.Cuts,100000
Line,0,137020300,75349100,63182500,75349100,,Edge.Cuts,100000
Line,0,63119000,26797000,137083800,26797000,,Edge.Cuts,100000
Circle,3,137083800,72364600,138593178,72364600,,Edge.Cuts,150000
Circle,3,63322200,72288400,64831578,72288400,,Edge.Cuts,150000
Circle,3,63182500,29718000,64691878,29718000,,Edge.Cuts,150000
Circle,3,137288922,29641800,138798300,29641800,,Edge.Cuts,150000
