Text,xPos,yPos,LayerName,HorizJustify,VertJustify,Angle,Height,Width,StyleName,Thickness,Mirrored
D14,101625400,49314100,F.SilkS,0,0,0.0,500000,500000,Normal,100000,False
DFP_BUSY,95923100,49339500,F.SilkS,0,0,0.0,500000,500000,Normal,100000,False
LCD_CS,82435700,55397400,F.SilkS,0,0,0.0,500000,500000,Normal,100000,False
LCD_CS,86398100,55422800,F.SilkS,0,0,0.0,500000,500000,Normal,100000,False
GND,86423500,51587400,F.SilkS,0,0,0.0,500000,500000,Normal,100000,False
A2,82588100,51587400,F.SilkS,0,0,0.0,500000,500000,Normal,100000,False
SD_CS,78689200,55422800,F.SilkS,0,0,0.0,500000,500000,Normal,100000,False
A1,78752700,51587400,F.SilkS,0,0,0.0,500000,500000,Normal,100000,False
3.MOSI,96577129,55118000,F.SilkS,0,0,0.0,500000,500000,Normal,100000,False
2.SCLK,93724031,55118000,F.SilkS,0,0,0.0,500000,500000,Normal,100000,False
4.MISO,99394513,55118000,F.SilkS,0,0,0.0,500000,500000,Normal,100000,False
1.CS,91287600,55118000,F.SilkS,0,0,0.0,500000,500000,Normal,100000,False
SDA,122567700,60505340,F.SilkS,0,0,0.0,600000,600000,Normal,100000,False
SCL,125300740,60505340,F.SilkS,0,0,0.0,600000,600000,Normal,100000,False
VDD,127749300,60505340,F.SilkS,0,0,0.0,600000,600000,Normal,100000,False
GND,130395980,60505340,F.SilkS,0,0,0.0,600000,600000,Normal,100000,False
C1,77406500,45262800,B.SilkS,0,0,-90.0,800000,800000,Normal,150000,True
IR_TX,75184000,55626000,B.SilkS,0,0,-90.0,800000,800000,Normal,150000,True
1.CS,91401900,54902100,B.SilkS,0,0,0.0,500000,500000,Normal,100000,True
4.MISO,99508813,54902100,B.SilkS,0,0,0.0,500000,500000,Normal,100000,True
2.SCLK,93838331,54902100,B.SilkS,0,0,0.0,500000,500000,Normal,100000,True
3.MOSI,96691429,54902100,B.SilkS,0,0,0.0,500000,500000,Normal,100000,True
SPI_SDCard_CONN,94945200,51422300,B.SilkS,0,0,0.0,800000,800000,Normal,150000,True
VOLUME_TUNNER,135115300,52971700,B.SilkS,0,0,90.0,800000,800000,Normal,150000,True
IR_RX,134988300,64427100,B.SilkS,0,0,90.0,800000,800000,Normal,150000,True
I2C_CONN,120764300,63893700,B.SilkS,0,0,90.0,800000,800000,Normal,150000,True
TFT_LCD_CONN,85305900,46926500,B.SilkS,0,0,0.0,800000,800000,Normal,150000,True
5.CS,92341700,50317400,B.SilkS,0,0,0.0,500000,500000,Normal,100000,True
3.RST,87841851,50317400,B.SilkS,0,0,0.0,500000,500000,Normal,100000,True
4.DC,90187013,50317400,B.SilkS,0,0,0.0,500000,500000,Normal,100000,True
1.SCLK,82080100,50317400,B.SilkS,0,0,0.0,500000,500000,Normal,100000,True
2.MOSI,85091928,50317400,B.SilkS,0,0,0.0,500000,500000,Normal,100000,True
5.CS,92138500,50457100,F.SilkS,0,0,0.0,500000,500000,Normal,100000,False
4.DC,90094938,50457100,F.SilkS,0,0,0.0,500000,500000,Normal,100000,False
3.RST,87860901,50457100,F.SilkS,0,0,0.0,500000,500000,Normal,100000,False
2.MOSI,85222103,50457100,F.SilkS,0,0,0.0,500000,500000,Normal,100000,False
1.SCLK,82321400,50457100,F.SilkS,0,0,0.0,500000,500000,Normal,100000,False
SPI_SDCard_CONN,95199200,51346100,F.SilkS,0,0,0.0,600000,600000,Normal,100000,False
TFT_LCD_CONN,84251800,46812200,F.SilkS,0,0,0.0,600000,600000,Normal,100000,False
CAP_IN,64985900,39039800,B.SilkS,0,0,90.0,600000,600000,Normal,100000,True
ROW3,112651540,70436740,B.SilkS,0,0,0.0,400000,400000,Normal,100000,True
ROW2,89458800,70472300,B.SilkS,0,0,0.0,400000,400000,Normal,100000,True
SCL,125065371,60911740,B.SilkS,0,0,0.0,600000,600000,Normal,100000,True
SDA,122494040,60911740,B.SilkS,0,0,0.0,600000,600000,Normal,100000,True
VDD,127650989,60911740,B.SilkS,0,0,0.0,600000,600000,Normal,100000,True
GND,130322320,60911740,B.SilkS,0,0,0.0,600000,600000,Normal,100000,True
D14,78351756,74330560,B.SilkS,0,0,0.0,800000,800000,Normal,80000,True
D16,83499237,74330560,B.SilkS,0,0,0.0,800000,800000,Normal,80000,True
D15,86072980,74330560,B.SilkS,0,0,0.0,800000,800000,Normal,80000,True
D4,68323460,74330560,B.SilkS,0,0,0.0,800000,800000,Normal,80000,True
D6,70573391,74330560,B.SilkS,0,0,0.0,800000,800000,Normal,80000,True
D10,73204275,74330560,B.SilkS,0,0,0.0,800000,800000,Normal,80000,True
